name,location.x,location.y,speed,dist,closestAntenna.location.x,closestAntenna.location.y
people7,1731.504372709309,63.626886669975484,0.509248819254616,697.6034434053521,1223.6737842045197,541.9140991583333
people8,777.769545112263,453.3343567949386,0.4686666744902175,136.83524316996736,898.2682706838835,518.1721614230981
people9,1409.0499690996166,527.3478513103332,0.8285708166886052,185.9475880527374,1223.6737842045197,541.9140991583333
people0,1449.68679925664,1087.6046366810292,0.7595165882729464,131.52514395094533,1573.3906263823073,1042.9254844310158
people1,1958.6567868876114,1939.8154218642376,0.6161495627964535,639.6518600034117,1591.0418307967452,1416.3521986439862
people2,959.6201609176354,1454.3793424841338,0.7540952375481443,623.8823375566641,337.56043242067904,1406.7257455846316
people3,1038.1609157842472,1347.661887341103,0.49767948445516047,557.1316406846267,1591.0418307967452,1416.3521986439862
people4,598.0413393463656,18.207861346885117,1.1375316304144163,583.1813711454099,898.2682706838835,518.1721614230981
people5,513.1080068825438,798.6881947719419,1.2060012180484976,476.4847046624763,898.2682706838835,518.1721614230981
people6,943.3921994224207,1476.9753632891845,0.5563855644242723,609.8910875689925,337.56043242067904,1406.7257455846316
people7,1728.7143883534418,67.2955477039672,0.509248819254616,693.0575598200693,1223.6737842045197,541.9140991583333
people8,774.0585868341462,451.86749617824296,0.4686666744902175,140.79898506482212,898.2682706838835,518.1721614230981
people9,1404.8509062397372,533.2655151609459,0.8285708166886052,181.38342690037575,1223.6737842045197,541.9140991583333
people0,1443.759709764536,1089.636246380718,0.7595165882729464,137.7899482004596,1573.3906263823073,1042.9254844310158
